"filename", "language", "JSON", "JavaScript", "JavaScript React", "CSS", "XML", "Markdown", "HTML", "comment", "blank", "total"
"c:\git\stuffs-store-frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 10, 0, 0, 3, 13
"c:\git\stuffs-store-frontend\jsconfig.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\git\stuffs-store-frontend\package-lock.json", "JSON", 45507, 0, 0, 0, 0, 0, 0, 0, 1, 45508
"c:\git\stuffs-store-frontend\package.json", "JSON", 46, 0, 0, 0, 0, 0, 0, 0, 1, 47
"c:\git\stuffs-store-frontend\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 21, 23, 1, 45
"c:\git\stuffs-store-frontend\public\manifest.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\git\stuffs-store-frontend\src\App.css", "CSS", 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"c:\git\stuffs-store-frontend\src\App.js", "JavaScript", 0, 56, 0, 0, 0, 0, 0, 0, 11, 67
"c:\git\stuffs-store-frontend\src\assets\crown.svg", "XML", 0, 0, 0, 0, 16, 0, 0, 1, 0, 17
"c:\git\stuffs-store-frontend\src\assets\shopping-bag.svg", "XML", 0, 0, 0, 0, 52, 0, 0, 1, 1, 54
"c:\git\stuffs-store-frontend\src\components\CartDropdown\CartDropdown.jsx", "JavaScript React", 0, 0, 33, 0, 0, 0, 0, 0, 8, 41
"c:\git\stuffs-store-frontend\src\components\CartDropdown\CartDropdown.styles.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 5, 33
"c:\git\stuffs-store-frontend\src\components\CartIcon\CartIcon.jsx", "JavaScript React", 0, 0, 16, 0, 0, 0, 0, 0, 6, 22
"c:\git\stuffs-store-frontend\src\components\CartIcon\CartIcon.styles.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 4, 25
"c:\git\stuffs-store-frontend\src\components\CartItem\CartItem.jsx", "JavaScript React", 0, 0, 17, 0, 0, 0, 0, 0, 4, 21
"c:\git\stuffs-store-frontend\src\components\CartItem\CartItem.styles.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 5, 26
"c:\git\stuffs-store-frontend\src\components\CheckoutItem\CheckoutItem.jsx", "JavaScript React", 0, 0, 38, 0, 0, 0, 0, 0, 9, 47
"c:\git\stuffs-store-frontend\src\components\CheckoutItem\CheckoutItem.styles.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 0, 11, 52
"c:\git\stuffs-store-frontend\src\components\CollectionItem\CollectionItem.jsx", "JavaScript React", 0, 0, 29, 0, 0, 0, 0, 0, 6, 35
"c:\git\stuffs-store-frontend\src\components\CollectionItem\CollectionItem.styles.js", "JavaScript", 0, 50, 0, 0, 0, 0, 0, 0, 9, 59
"c:\git\stuffs-store-frontend\src\components\CollectionPreview\CollectionPreview.jsx", "JavaScript React", 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"c:\git\stuffs-store-frontend\src\components\CollectionPreview\CollectionPreview.styles.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
"c:\git\stuffs-store-frontend\src\components\CollectionsOverview\CollectionsOverview.jsx", "JavaScript React", 0, 0, 16, 0, 0, 0, 0, 0, 6, 22
"c:\git\stuffs-store-frontend\src\components\CollectionsOverview\CollectionsOverview.styles.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"c:\git\stuffs-store-frontend\src\components\CustomButton\CustomButton.jsx", "JavaScript React", 0, 0, 6, 0, 0, 0, 0, 0, 3, 9
"c:\git\stuffs-store-frontend\src\components\CustomButton\CustomButton.styles.js", "JavaScript", 0, 50, 0, 0, 0, 0, 0, 0, 9, 59
"c:\git\stuffs-store-frontend\src\components\Directory\Directory.jsx", "JavaScript React", 0, 0, 16, 0, 0, 0, 0, 0, 5, 21
"c:\git\stuffs-store-frontend\src\components\Directory\Directory.styles.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\git\stuffs-store-frontend\src\components\FormInput\FormInput.jsx", "JavaScript React", 0, 0, 17, 0, 0, 0, 0, 0, 3, 20
"c:\git\stuffs-store-frontend\src\components\FormInput\FormInput.styles.js", "JavaScript", 0, 47, 0, 0, 0, 0, 0, 0, 10, 57
"c:\git\stuffs-store-frontend\src\components\Header\Header.jsx", "JavaScript React", 0, 0, 41, 0, 0, 0, 0, 0, 12, 53
"c:\git\stuffs-store-frontend\src\components\Header\Header.styles.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 0, 8, 43
"c:\git\stuffs-store-frontend\src\components\MenuItem\MenuItem.jsx", "JavaScript React", 0, 0, 16, 0, 0, 0, 0, 0, 4, 20
"c:\git\stuffs-store-frontend\src\components\MenuItem\MenuItem.styles.js", "JavaScript", 0, 57, 0, 0, 0, 0, 0, 0, 11, 68
"c:\git\stuffs-store-frontend\src\components\SignIn\SignIn.jsx", "JavaScript React", 0, 0, 61, 0, 0, 0, 0, 0, 9, 70
"c:\git\stuffs-store-frontend\src\components\SignIn\SignIn.styles.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 4, 17
"c:\git\stuffs-store-frontend\src\components\SignUp\SignUp.jsx", "JavaScript React", 0, 0, 82, 0, 0, 0, 0, 0, 10, 92
"c:\git\stuffs-store-frontend\src\components\SignUp\SignUp.styles.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\git\stuffs-store-frontend\src\components\StripeCheckoutButton\StripeCheckoutButton.jsx", "JavaScript React", 0, 0, 29, 0, 0, 0, 0, 0, 5, 34
"c:\git\stuffs-store-frontend\src\firebase\firebase.utils.js", "JavaScript", 0, 55, 0, 0, 0, 0, 0, 0, 10, 65
"c:\git\stuffs-store-frontend\src\index.css", "CSS", 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\git\stuffs-store-frontend\src\index.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 5, 25
"c:\git\stuffs-store-frontend\src\pages\AuthenticationPage\AuthenticationPage.jsx", "JavaScript React", 0, 0, 11, 0, 0, 0, 0, 0, 4, 15
"c:\git\stuffs-store-frontend\src\pages\AuthenticationPage\AuthenticationPage.styles.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\git\stuffs-store-frontend\src\pages\CheckoutPage\CheckoutPage.jsx", "JavaScript React", 0, 0, 39, 0, 0, 0, 0, 0, 7, 46
"c:\git\stuffs-store-frontend\src\pages\CheckoutPage\CheckoutPage.styles.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 0, 7, 39
"c:\git\stuffs-store-frontend\src\pages\CollectionPage\CollectionPage.jsx", "JavaScript React", 0, 0, 21, 0, 0, 0, 0, 0, 6, 27
"c:\git\stuffs-store-frontend\src\pages\CollectionPage\CollectionPage.styles.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 5, 22
"c:\git\stuffs-store-frontend\src\pages\HomePage\HomePage.jsx", "JavaScript React", 0, 0, 9, 0, 0, 0, 0, 0, 4, 13
"c:\git\stuffs-store-frontend\src\pages\HomePage\HomePage.styles.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\git\stuffs-store-frontend\src\pages\NotFound\NotFound.jsx", "JavaScript React", 0, 0, 7, 0, 0, 0, 0, 0, 3, 10
"c:\git\stuffs-store-frontend\src\pages\ShopPage\ShopPage.jsx", "JavaScript React", 0, 0, 13, 0, 0, 0, 0, 0, 4, 17
"c:\git\stuffs-store-frontend\src\redux\cart\cart.actions.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 4, 16
"c:\git\stuffs-store-frontend\src\redux\cart\cart.reducer.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 4, 32
