Date : 2021-08-09 16:29:54
Directory : c:\git\stuffs-store-frontend
Total : 71 files,  47427 codes, 80 comments, 350 blanks, all 47857 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JSON             |          4 |     45,567 |          0 |          4 |     45,571 |
| JavaScript       |         40 |      1,203 |         55 |        215 |      1,473 |
| JavaScript React |         21 |        533 |          0 |        121 |        654 |
| XML              |          2 |         68 |          2 |          1 |         71 |
| CSS              |          2 |         25 |          0 |          5 |         30 |
| HTML             |          1 |         21 |         23 |          1 |         45 |
| Markdown         |          1 |         10 |          0 |          3 |         13 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                          | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                             |         71 |     47,427 |         80 |        350 |     47,857 |
| public                                                                                        |          2 |         29 |         23 |          2 |         54 |
| src                                                                                           |         65 |      1,829 |         57 |        342 |      2,228 |
| src\assets                                                                                    |          2 |         68 |          2 |          1 |         71 |
| src\components                                                                                |         29 |        831 |          0 |        180 |      1,011 |
| src\components\CartDropdown                                                                   |          2 |         61 |          0 |         13 |         74 |
| src\components\CartIcon                                                                       |          2 |         37 |          0 |         10 |         47 |
| src\components\CartItem                                                                       |          2 |         38 |          0 |          9 |         47 |
| src\components\CheckoutItem                                                                   |          2 |         79 |          0 |         20 |         99 |
| src\components\CollectionItem                                                                 |          2 |         79 |          0 |         15 |         94 |
| src\components\CollectionPreview                                                              |          2 |         30 |          0 |          7 |         37 |
| src\components\CollectionsOverview                                                            |          2 |         21 |          0 |          8 |         29 |
| src\components\CustomButton                                                                   |          2 |         56 |          0 |         12 |         68 |
| src\components\Directory                                                                      |          2 |         23 |          0 |          7 |         30 |
| src\components\FormInput                                                                      |          2 |         64 |          0 |         13 |         77 |
| src\components\Header                                                                         |          2 |         76 |          0 |         20 |         96 |
| src\components\MenuItem                                                                       |          2 |         73 |          0 |         15 |         88 |
| src\components\SignIn                                                                         |          2 |         74 |          0 |         13 |         87 |
| src\components\SignUp                                                                         |          2 |         91 |          0 |         13 |        104 |
| src\components\StripeCheckoutButton                                                           |          1 |         29 |          0 |          5 |         34 |
| src\firebase                                                                                  |          1 |         55 |          0 |         10 |         65 |
| src\pages                                                                                     |         10 |        163 |          0 |         44 |        207 |
| src\pages\AuthenticationPage                                                                  |          2 |         18 |          0 |          6 |         24 |
| src\pages\CheckoutPage                                                                        |          2 |         71 |          0 |         14 |         85 |
| src\pages\CollectionPage                                                                      |          2 |         38 |          0 |         11 |         49 |
| src\pages\HomePage                                                                            |          2 |         16 |          0 |          6 |         22 |
| src\pages\NotFound                                                                            |          1 |          7 |          0 |          3 |         10 |
| src\pages\ShopPage                                                                            |          1 |         13 |          0 |          4 |         17 |
| src\redux                                                                                     |         17 |        475 |          0 |         61 |        536 |
| src\redux\cart                                                                                |          5 |         89 |          0 |         18 |        107 |
| src\redux\directory                                                                           |          3 |         52 |          0 |          9 |         61 |
| src\redux\shop                                                                                |          3 |        274 |          0 |         11 |        285 |
| src\redux\user                                                                                |          4 |         30 |          0 |         10 |         40 |
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                      | language         | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| c:\git\stuffs-store-frontend\README.md                                                        | Markdown         |         10 |          0 |          3 |         13 |
| c:\git\stuffs-store-frontend\jsconfig.json                                                    | JSON             |          6 |          0 |          1 |          7 |
| c:\git\stuffs-store-frontend\package-lock.json                                                | JSON             |     45,507 |          0 |          1 |     45,508 |
| c:\git\stuffs-store-frontend\package.json                                                     | JSON             |         46 |          0 |          1 |         47 |
| c:\git\stuffs-store-frontend\public\index.html                                                | HTML             |         21 |         23 |          1 |         45 |
| c:\git\stuffs-store-frontend\public\manifest.json                                             | JSON             |          8 |          0 |          1 |          9 |
| c:\git\stuffs-store-frontend\src\App.css                                                      | CSS              |         13 |          0 |          3 |         16 |
| c:\git\stuffs-store-frontend\src\App.js                                                       | JavaScript       |         56 |          0 |         11 |         67 |
| c:\git\stuffs-store-frontend\src\assets\crown.svg                                             | XML              |         16 |          1 |          0 |         17 |
| c:\git\stuffs-store-frontend\src\assets\shopping-bag.svg                                      | XML              |         52 |          1 |          1 |         54 |
| c:\git\stuffs-store-frontend\src\components\CartDropdown\CartDropdown.jsx                     | JavaScript React |         33 |          0 |          8 |         41 |
| c:\git\stuffs-store-frontend\src\components\CartDropdown\CartDropdown.styles.js               | JavaScript       |         28 |          0 |          5 |         33 |
| c:\git\stuffs-store-frontend\src\components\CartIcon\CartIcon.jsx                             | JavaScript React |         16 |          0 |          6 |         22 |
| c:\git\stuffs-store-frontend\src\components\CartIcon\CartIcon.styles.js                       | JavaScript       |         21 |          0 |          4 |         25 |
| c:\git\stuffs-store-frontend\src\components\CartItem\CartItem.jsx                             | JavaScript React |         17 |          0 |          4 |         21 |
| c:\git\stuffs-store-frontend\src\components\CartItem\CartItem.styles.js                       | JavaScript       |         21 |          0 |          5 |         26 |
| c:\git\stuffs-store-frontend\src\components\CheckoutItem\CheckoutItem.jsx                     | JavaScript React |         38 |          0 |          9 |         47 |
| c:\git\stuffs-store-frontend\src\components\CheckoutItem\CheckoutItem.styles.js               | JavaScript       |         41 |          0 |         11 |         52 |
| c:\git\stuffs-store-frontend\src\components\CollectionItem\CollectionItem.jsx                 | JavaScript React |         29 |          0 |          6 |         35 |
| c:\git\stuffs-store-frontend\src\components\CollectionItem\CollectionItem.styles.js           | JavaScript       |         50 |          0 |          9 |         59 |
| c:\git\stuffs-store-frontend\src\components\CollectionPreview\CollectionPreview.jsx           | JavaScript React |         16 |          0 |          3 |         19 |
| c:\git\stuffs-store-frontend\src\components\CollectionPreview\CollectionPreview.styles.js     | JavaScript       |         14 |          0 |          4 |         18 |
| c:\git\stuffs-store-frontend\src\components\CollectionsOverview\CollectionsOverview.jsx       | JavaScript React |         16 |          0 |          6 |         22 |
| c:\git\stuffs-store-frontend\src\components\CollectionsOverview\CollectionsOverview.styles.js | JavaScript       |          5 |          0 |          2 |          7 |
| c:\git\stuffs-store-frontend\src\components\CustomButton\CustomButton.jsx                     | JavaScript React |          6 |          0 |          3 |          9 |
| c:\git\stuffs-store-frontend\src\components\CustomButton\CustomButton.styles.js               | JavaScript       |         50 |          0 |          9 |         59 |
| c:\git\stuffs-store-frontend\src\components\Directory\Directory.jsx                           | JavaScript React |         16 |          0 |          5 |         21 |
| c:\git\stuffs-store-frontend\src\components\Directory\Directory.styles.js                     | JavaScript       |          7 |          0 |          2 |          9 |
| c:\git\stuffs-store-frontend\src\components\FormInput\FormInput.jsx                           | JavaScript React |         17 |          0 |          3 |         20 |
| c:\git\stuffs-store-frontend\src\components\FormInput\FormInput.styles.js                     | JavaScript       |         47 |          0 |         10 |         57 |
| c:\git\stuffs-store-frontend\src\components\Header\Header.jsx                                 | JavaScript React |         41 |          0 |         12 |         53 |
| c:\git\stuffs-store-frontend\src\components\Header\Header.styles.js                           | JavaScript       |         35 |          0 |          8 |         43 |
| c:\git\stuffs-store-frontend\src\components\MenuItem\MenuItem.jsx                             | JavaScript React |         16 |          0 |          4 |         20 |
| c:\git\stuffs-store-frontend\src\components\MenuItem\MenuItem.styles.js                       | JavaScript       |         57 |          0 |         11 |         68 |
| c:\git\stuffs-store-frontend\src\components\SignIn\SignIn.jsx                                 | JavaScript React |         61 |          0 |          9 |         70 |
| c:\git\stuffs-store-frontend\src\components\SignIn\SignIn.styles.js                           | JavaScript       |         13 |          0 |          4 |         17 |
| c:\git\stuffs-store-frontend\src\components\SignUp\SignUp.jsx                                 | JavaScript React |         82 |          0 |         10 |         92 |
| c:\git\stuffs-store-frontend\src\components\SignUp\SignUp.styles.js                           | JavaScript       |          9 |          0 |          3 |         12 |
| c:\git\stuffs-store-frontend\src\components\StripeCheckoutButton\StripeCheckoutButton.jsx     | JavaScript React |         29 |          0 |          5 |         34 |
| c:\git\stuffs-store-frontend\src\firebase\firebase.utils.js                                   | JavaScript       |         55 |          0 |         10 |         65 |
| c:\git\stuffs-store-frontend\src\index.css                                                    | CSS              |         12 |          0 |          2 |         14 |
| c:\git\stuffs-store-frontend\src\index.js                                                     | JavaScript       |         20 |          0 |          5 |         25 |
| c:\git\stuffs-store-frontend\src\pages\AuthenticationPage\AuthenticationPage.jsx              | JavaScript React |         11 |          0 |          4 |         15 |
| c:\git\stuffs-store-frontend\src\pages\AuthenticationPage\AuthenticationPage.styles.js        | JavaScript       |          7 |          0 |          2 |          9 |
| c:\git\stuffs-store-frontend\src\pages\CheckoutPage\CheckoutPage.jsx                          | JavaScript React |         39 |          0 |          7 |         46 |
| c:\git\stuffs-store-frontend\src\pages\CheckoutPage\CheckoutPage.styles.js                    | JavaScript       |         32 |          0 |          7 |         39 |
| c:\git\stuffs-store-frontend\src\pages\CollectionPage\CollectionPage.jsx                      | JavaScript React |         21 |          0 |          6 |         27 |
| c:\git\stuffs-store-frontend\src\pages\CollectionPage\CollectionPage.styles.js                | JavaScript       |         17 |          0 |          5 |         22 |
| c:\git\stuffs-store-frontend\src\pages\HomePage\HomePage.jsx                                  | JavaScript React |          9 |          0 |          4 |         13 |
| c:\git\stuffs-store-frontend\src\pages\HomePage\HomePage.styles.js                            | JavaScript       |          7 |          0 |          2 |          9 |
| c:\git\stuffs-store-frontend\src\pages\NotFound\NotFound.jsx                                  | JavaScript React |          7 |          0 |          3 |         10 |
| c:\git\stuffs-store-frontend\src\pages\ShopPage\ShopPage.jsx                                  | JavaScript React |         13 |          0 |          4 |         17 |
| c:\git\stuffs-store-frontend\src\redux\cart\cart.actions.js                                   | JavaScript       |         12 |          0 |          4 |         16 |
| c:\git\stuffs-store-frontend\src\redux\cart\cart.reducer.js                                   | JavaScript       |         28 |          0 |          4 |         32 |
| c:\git\stuffs-store-frontend\src\redux\cart\cart.selectors.js                                 | JavaScript       |         20 |          0 |          6 |         26 |
| c:\git\stuffs-store-frontend\src\redux\cart\cart.types.js                                     | JavaScript       |          5 |          0 |          1 |          6 |
| c:\git\stuffs-store-frontend\src\redux\cart\cart.utils.js                                     | JavaScript       |         24 |          0 |          3 |         27 |
| c:\git\stuffs-store-frontend\src\redux\directory\directory.data.js                            | JavaScript       |         35 |          0 |          2 |         37 |
| c:\git\stuffs-store-frontend\src\redux\directory\directory.reducer.js                         | JavaScript       |         11 |          0 |          4 |         15 |
| c:\git\stuffs-store-frontend\src\redux\directory\directory.selectors.js                       | JavaScript       |          6 |          0 |          3 |          9 |
| c:\git\stuffs-store-frontend\src\redux\root.reducer.js                                        | JavaScript       |         19 |          0 |          6 |         25 |
| c:\git\stuffs-store-frontend\src\redux\shop\shop.data.js                                      | JavaScript       |        248 |          0 |          2 |        250 |
| c:\git\stuffs-store-frontend\src\redux\shop\shop.reducer.js                                   | JavaScript       |         11 |          0 |          4 |         15 |
| c:\git\stuffs-store-frontend\src\redux\shop\shop.selectors.js                                 | JavaScript       |         15 |          0 |          5 |         20 |
| c:\git\stuffs-store-frontend\src\redux\store.js                                               | JavaScript       |         11 |          0 |          7 |         18 |
| c:\git\stuffs-store-frontend\src\redux\user\user.actions.js                                   | JavaScript       |          5 |          0 |          2 |          7 |
| c:\git\stuffs-store-frontend\src\redux\user\user.reducer.js                                   | JavaScript       |         16 |          0 |          4 |         20 |
| c:\git\stuffs-store-frontend\src\redux\user\user.selectors.js                                 | JavaScript       |          6 |          0 |          3 |          9 |
| c:\git\stuffs-store-frontend\src\redux\user\user.types.js                                     | JavaScript       |          3 |          0 |          1 |          4 |
| c:\git\stuffs-store-frontend\src\service-worker.js                                            | JavaScript       |         38 |         24 |         12 |         74 |
| c:\git\stuffs-store-frontend\src\serviceWorkerRegistration.js                                 | JavaScript       |         98 |         31 |         13 |        142 |
| Total                                                                                         |                  |     47,427 |         80 |        350 |     47,857 |
+-----------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
